,episodes,reward
354,354,5540.5
355,355,5294.5
356,356,5321.0
357,357,5156.0
358,358,5292.0
359,359,5421.0
360,360,5222.0
361,361,5068.5
362,362,5274.5
363,363,5261.5
364,364,5043.5
365,365,5301.5
366,366,4989.5
367,367,5491.5
368,368,5234.5
369,369,5204.5
370,370,5400.5
371,371,5219.0
372,372,5432.5
373,373,5067.0
374,374,4949.0
375,375,5010.0
376,376,5144.5
377,377,5316.0
378,378,5363.0
379,379,5503.5
380,380,5168.0
381,381,5536.5
382,382,5294.0
383,383,5425.5
384,384,5490.0
385,385,4909.5
386,386,5067.5
387,387,5291.0
388,388,5410.5
389,389,5016.0
390,390,5158.0
391,391,5044.5
392,392,4985.0
393,393,5341.5
394,394,5060.0
395,395,5484.0
396,396,5148.5
397,397,4982.5
398,398,5518.5
399,399,5236.5
400,400,5109.0
401,401,5192.5
402,402,5021.5
403,403,5266.5
404,404,4967.5
405,405,5173.5
406,406,5322.5
407,407,5178.5
408,408,5439.5
409,409,5123.5
410,410,5195.0
411,411,5166.5
412,412,5365.0
413,413,5348.0
414,414,5270.0
415,415,5288.0
416,416,5007.5
417,417,5237.0
418,418,5102.0
419,419,5373.5
420,420,4993.5
421,421,5443.0
422,422,4959.0
423,423,5197.0
424,424,5008.0
425,425,5221.5
426,426,5109.0
427,427,5351.5
428,428,5316.5
429,429,5476.0
430,430,5054.5
431,431,5277.0
432,432,5406.0
433,433,5283.0
434,434,5471.0
435,435,5232.0
436,436,5307.5
437,437,5424.5
438,438,4985.0
439,439,5117.0
440,440,5396.5
441,441,5398.0
442,442,5167.5
443,443,5193.5
444,444,5089.0
445,445,5171.0
446,446,5588.5
447,447,4985.5
448,448,5143.0
449,449,5381.5
450,450,5499.5
451,451,5615.5
452,452,4987.0
453,453,5292.5
454,454,5795.0
455,455,5443.5
456,456,5339.0
457,457,5384.5
458,458,5073.0
459,459,4947.5
460,460,5087.5
461,461,5418.5
462,462,5209.5
463,463,5134.5
464,464,5321.5
465,465,5159.0
466,466,5586.5
467,467,5461.5
468,468,5628.5
469,469,5256.0
470,470,5388.5
471,471,5343.0
472,472,5156.5
473,473,5150.5
474,474,5023.5
475,475,5332.0
476,476,5629.0
477,477,5238.5
478,478,5434.0
479,479,5246.5
480,480,5531.0
481,481,5181.0
482,482,5523.0
483,483,5151.5
484,484,5208.5
485,485,5530.0
486,486,4860.0
487,487,4953.0
488,488,5346.0
489,489,5049.5
490,490,5067.0
491,491,5020.0
492,492,5207.0
493,493,5133.0
494,494,5104.5
495,495,4937.0
496,496,4927.0
497,497,4965.0
498,498,5116.5
499,499,5315.0
